"","uid","descrip_block1_neg","descrip_block1_pos","descrip_block2_neg","descrip_block2_pos","descrip_block3_neg","descrip_block3_pos","scenario1_neg_classifier1_in.general_score","scenario1_neg_classifier1_myself_score","scenario1_neg_classifier1_specific.situations_score","scenario1_neg_classifier1_other.people_score","scenario1_pos_classifier1_myself_score","scenario1_pos_classifier1_in.general_score","scenario1_pos_classifier1_specific.situations_score","scenario1_pos_classifier1_other.people_score","scenario2_neg_classifier1_myself_score","scenario2_neg_classifier1_in.general_score","scenario2_neg_classifier1_specific.situations_score","scenario2_neg_classifier1_other.people_score","scenario2_pos_classifier1_in.general_score","scenario2_pos_classifier1_myself_score","scenario2_pos_classifier1_other.people_score","scenario2_pos_classifier1_specific.situations_score","scenario3_neg_classifier1_other.people_score","scenario3_neg_classifier1_specific.situations_score","scenario3_neg_classifier1_in.general_score","scenario3_neg_classifier1_myself_score","scenario3_pos_classifier1_in.general_score","scenario3_pos_classifier1_specific.situations_score","scenario3_pos_classifier1_other.people_score","scenario3_pos_classifier1_myself_score"
"1","subCA1_1","Gives themself the benefit of the doubt ","Positive sense of self","Giving themself the benefit of the doubt even when they failed at something","Feeling good about themselves in general even over small things","Explaining away their responsibility for the events","Taking positive events as their due",0.571909308433533,0.548711180686951,0.168109506368637,0.000573702855035663,0.807965755462646,0.364522784948349,0.0642857551574707,0.00234531424939632,0.776065766811371,0.64538162946701,0.215795457363129,0.00133605301380157,0.903632342815399,0.528145909309387,0.286947339773178,0.0147668523713946,0.846785187721252,0.743422269821167,0.496190011501312,0.0250548981130123,0.572234630584717,0.27566722035408,0.232369661331177,0.0677268207073212
"2","subCA1_10","They happen from time to time, it doesn't mean you should be down on yourself, just things don't always go to plan.","Hard work or being organised, being a good person is usually part of life you don't praise yourself for.","Bad days happen sometimes, you don't need to be so hard on yourself for it.","It's ok to praise yourself even for the small things.","somethings just don't go the way you plan","Sometimes you are more well thought of than you realise",0.643032431602478,0.355092585086823,0.337040930986404,0.0637372583150864,0.140689328312874,0.785347998142242,0.393841296434402,0.114823393523693,0.45750218629837,0.535248041152954,0.423413991928101,0.023965559899807,0.541281640529633,0.638361036777496,0.000674702750984579,0.119845628738403,0.123780719935894,0.850600957870483,0.508357167243958,0.134970843791962,0.500776946544647,0.389929950237274,0.0928684994578362,0.383842021226883
"3","subCA1_100","The person in question has high confidence, so he looks to see the positives in things.","The person in question has high confidence, hence he believes he is the reason for his success.","I am the same high confidence person as before, I blame things around me for my failures.","I am the same high confidence person as before, I am the main reason for success.","I am the same high confidence person as before, the negative results happened not because of me but because of the surroundings.","I am the same high confidence person as before, and the positive results are only because of me.",0.235257029533386,0.191317856311798,0.364785432815552,0.071051187813282,0.153897076845169,0.0649132803082466,0.366402328014374,0.0004893479635939,0.0454642213881016,0.377743452787399,0.116591393947601,0.940335214138031,0.266050219535828,0.978675186634064,0.000530643155798316,0.0710122585296631,0.639508545398712,0.579768657684326,0.299348801374435,0.369260370731354,0.208980962634087,0.120671436190605,0.000493215688038617,0.974880754947662
"4","subCA1_11","Disorganisation.
Poor planning.","Organisation.
Great use of time!","Being too hard on ones self.
Low self confidence.","Positive mental attitude.
Great self belief.","Poor self belief.
No compassion towards self.","Confidence.
Great self belief.",0.91349071264267,0.488620638847351,0.63891875743866,0.50893759727478,0.0291963145136833,0.214118406176567,0.104663729667664,0.0381047092378139,0.70594596862793,0.862891793251038,0.59688013792038,0.031021298840642,0.91445916891098,0.820759654045105,0.353241056203842,0.3562833070755,0.0607251785695553,0.524393498897552,0.911818444728851,0.708631694316864,0.80436098575592,0.399088680744171,0.0163721796125174,0.907857060432434
"5","subCA1_12","They tended to be more about that specific event and not a generalised statement.","They were a bit more general about the personality as a whole.","It was a localised reason that was about that event","it was more of a general reason","There is a localised reason why ","a positive reason about me",0.0155340395867825,0.0911171287298203,0.989656865596771,0.245396494865417,0.073777437210083,0.993448734283447,0.00356584344990551,0.501161456108093,0.038434624671936,0.00122084806207567,0.998190701007843,0.444966167211533,0.997311115264893,0.0160107892006636,0.128407657146454,0.00138122378848493,0.347067505121231,0.996259987354279,0.000972744368482381,0.0559903532266617,0.0745104029774666,0.189450517296791,0.0036289703566581,0.939499258995056
"6","subCA1_13","It felt like the correct answer was the less negative choice.","It felt like the correct answer was the most positive choice.","That the negative events were because of external factors.","That the positive events were because of myself.","That the events were due to external factors.","That the event were due to my qualities.",0.647353410720825,0.262298613786697,0.715862095355988,0.2302156239748,0.206495985388756,0.638682425022125,0.561122357845306,0.205649092793465,0.00421318830922246,0.517500340938568,0.76644366979599,0.632255792617798,0.0369924120604992,0.994141221046448,0.000300341052934527,0.881024837493896,0.737978279590607,0.440468460321426,0.334074705839157,0.00196570577099919,0.0437561944127083,0.724900007247925,0.000229643075726926,0.915529131889343
"7","subCA1_14","That things occasional go wrong and it happens to everyone.","Overall Im a good and efficient person.","Its the world thats wrong not me.","Im a likeable and clever person.","The reason for things not working out, is never my fault, its always someone elses or just bad luck.","Im an amazing person and everyone obviously loves me.",0.986131966114044,0.0568355768918991,0.0248024500906467,0.880727887153625,0.898181021213531,0.950407385826111,0.0241848919540644,0.101498611271381,0.00449359696358442,0.99268639087677,0.119716607034206,0.998657763004303,0.474063456058502,0.978428363800049,0.0704761147499084,0.270598590373993,0.981936395168304,0.516972064971924,0.686503708362579,0.00127608655020595,0.501208186149597,0.168919876217842,0.365142852067947,0.976797759532928
"8","subCA1_15","The correct ansswers don't always match with me but I am trying to give the response I think is right not based on me. ","It is hard being positive and again they don't always match me but realise they are the correct answers. ","It is easier to accept personal responsibility for negative things. ","I fail on those statements where I have to be confident about myself. ","Again easier to accept responsibility for negative things.","Self effacing to the end! ",0.543042778968811,0.0487455911934376,0.611719131469727,0.931485831737518,0.127750247716904,0.286841958761215,0.246309652924538,0.0692773833870888,0.470129877328873,0.0874478444457054,0.482239961624146,0.00450932141393423,0.126444905996323,0.701220870018005,0.0079317931085825,0.899391293525696,0.272301226854324,0.511861562728882,0.646352887153625,0.264956533908844,0.458079487085342,0.121760837733746,0.00678820023313165,0.844736337661743
"9","subCA1_16","Not putting yourself down so much - trying to find a positive within a negative experience","The same as above really - looking for a positive when things go wrong","Again, not putting yourself down i.e calling yourself useless just because you can't always remember something and get distracted ","Finding a positive reason when something bad has happened","Seeing the bad in everything and putting yourself down","Coming up with reasons why you weren't successful",0.416639477014542,0.502052664756775,0.28821924328804,0.0688002854585648,0.0744213983416557,0.974758446216583,0.0386444739997387,0.0515634417533875,0.207243233919144,0.502594411373138,0.20818866789341,0.00350959366187453,0.234240591526031,0.114101007580757,0.132168844342232,0.813983678817749,0.097931444644928,0.0558668151497841,0.509615361690521,0.521981954574585,0.221764162182808,0.703105330467224,0.0281421076506376,0.0502618923783302
"10","subCA1_17","A positive and forgiving outlook","The person has a very understanding and forgiving nature for both themselves and others.","Kind to self","Recognises self-worth and positive traits and does not downplay them.","Understanding","Gives themselves credit where credit is due.",0.725104570388794,0.159125372767448,0.0575445368885994,0.329376935958862,0.51540219783783,0.662453949451447,0.348193198442459,0.756027817726135,0.992828786373138,0.806570529937744,0.305407911539078,0.000448756443802267,0.46953296661377,0.617028832435608,0.0541266612708569,0.202147752046585,0.530249059200287,0.78547066450119,0.872622549533844,0.152355775237083,0.798288702964783,0.838906347751617,0.010091039352119,0.881912112236023
